" Beyond Bosses cannot spawn","이계 보스가 생성되지 않음"
" raising up to {0}% as they stay in the Aura for {1} seconds"," 오라 속에 있는 {1}초 동안 적이 받는 피해가 {0}%까지 상승"
"200 Mana spent Recently","비전 쇄도 효과 {0}% 감소"
"200 Mana spent Recently, up to 50%","비전 쇄도 효과 {0}% 증가, 최대 50%"
"<enchanted>{0}% chance to contain additional Black Scythe Artifacts}}","<enchanted>{0}%의 확률로 검은 낫 유물 추가 등장}}"
"<enchanted>{0}% chance to contain additional Breach Splinters}}","<enchanted>{0}%의 확률로 균열 파편 추가 등장}}"
"<enchanted>{0}% chance to contain additional Broken Circle Artifacts}}","<enchanted>{0}%의 확률로 끊어진 원 유물 추가 등장}}"
"<enchanted>{0}% chance to contain additional Currency Items}}","<enchanted>{0}%의 확률로 화폐 아이템 추가 등장}}"
"<enchanted>{0}% chance to contain additional Currency Shards}}","<enchanted>{0}%의 확률로 화폐 파편 추가 등장}}"
"<enchanted>{0}% chance to contain additional Legion Splinters}}","<enchanted>{0}%의 확률로 군단 파편 추가 등장}}"
"<enchanted>{0}% chance to contain additional Order Artifacts}}","<enchanted>{0}%의 확률로 성배단 유물 추가 등장}}"
"<enchanted>{0}% chance to contain additional Ritual Splinters}}","<enchanted>{0}%의 확률로 의식의 파편 추가 등장}}"
"<enchanted>{0}% chance to contain additional Simulacrum Splinters}}","<enchanted>{0}%의 확률로 복제된 영토 파편 추가 등장}}"
"<enchanted>{0}% chance to contain additional Sun Artifacts}}","<enchanted>{0}%의 확률로 태양 유물 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Abyssal Jewel}}","<enchanted>{0}%의 확률로 심연 주얼 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Catalyst}}","<enchanted>{0}%의 확률로 기폭제 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Divination Card}}","<enchanted>{0}%의 확률로 점술 카드 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Enchanted Item}}","<enchanted>{0}%의 확률로 인챈트된 아이템 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Essence}}","<enchanted>{0}%의 확률로 에센스 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Fossil}}","<enchanted>{0}%의 확률로 화석 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Fractured Item}}","<enchanted>{0}%의 확률로 분열된 아이템 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Gem}}","<enchanted>{0}%의 확률로 젬 1개 추가 등장}}"
"<enchanted>{0}% chance to contain an additional Heist Contract}}","<enchanted>{0}%의 확률로 강탈 계약 1개 추가 등장}}"
