"Life Regen",生命回复
"{0}% less Effect of your Curses","你的诅咒效果总降 {0}%"
"Minion Instability",复仇之灵
"Culling Strike",终结
Onslaught,猛攻
"Point Blank",零点射击
"Blood Magic",祭血术
"Iron Grip",钢铁之握
"Iron Will",钢铁意志
Rampage,暴走
"{0}% Chance to Block","该装备 {0}% 攻击格挡率"
"Avoid interruption from Stuns while Casting",施放时避免眩晕打断
"Bathed in the blood of {0} sacrificed in the name of Xibaqua","以夏巴夸亚的名义用 {0} 名祭品之血浸染"
"Base Spell Critical Strike Chance of Spells is equal to that of Main Hand Weapon",法术的基础法术暴击几率等于主手武器的暴击几率
"Passives in radius are Conquered by the Vaal",范围内的天赋被瓦尔抑制
"Bathed in the blood of {0} sacrificed in the name of Zerphi","以泽佛伊的名义用 {0} 名祭品之血浸染"
"Bathed in the blood of {0} sacrificed in the name of Doryani","以多里亚尼的名义用 {0} 名祭品之血浸染"
"Commanded leadership over {0} warriors under Kaom","获得冈姆麾下 {0} 名武士的领导权"
"Passives in radius are Conquered by the Karui",范围内的天赋被卡鲁抑制
"Commanded leadership over {0} warriors under Rakiata","获得拉凯尔塔麾下 {0} 名武士的领导权"
"Commanded leadership over {0} warriors under Kiloava","获得克洛瓦麾下 {0} 名武士的领导权"
"Denoted service of {0} dekhara in the akhara of Deshret","在迪虚瑞特的阿卡拉中指派 {0} 名德卡拉的服务"
"Passives in radius are Conquered by the Maraketh",范围中的天赋被马拉克斯抑制
"Denoted service of {0} dekhara in the akhara of Asenath","在安赛娜丝的阿卡拉中指派 {0} 名德卡拉的服务"
"Denoted service of {0} dekhara in the akhara of Nasima","在娜斯玛的阿卡拉中指派 {0} 名德卡拉的服务"
"Carved to glorify {0} new faithful converted by High Templar Venarius","赞美 {0} 名被神主维纳留斯转化的新信徒"
"Passives in radius are Conquered by the Templars",范围内的天赋被圣堂教团抑制
"Carved to glorify {0} new faithful converted by High Templar Dominus","赞美 {0} 名被神主多米纳斯转化的新信徒"
"Carved to glorify {0} new faithful converted by High Templar Avarius","赞美 {0} 名被神主阿瓦留斯转化的新信徒"
"Commissioned {0} coins to commemorate Cadiro","用 {0} 枚金币纪念卡迪罗"
