A properly disciplined mind gives rise to structured thought.,訓練有素的心靈孕育有序的思想。
A throne is the most devious trap of them all,王座是所有陷阱中最陰險的一個。
"Balance is good in all things, but especially in the realm of magic.",萬事皆需平衡，魔法領域尤其如此。
Bonds forged in battle surpass ties of blood.,戰鬥中鑄成的紐帶勝過血緣。
Burn the spirit to vitalise the flesh.,燃燒靈魂，以活化血肉。
Each nick and cut brings death one step closer.,每一道傷口都讓死亡更近一步。
Give up everything in pursuit of greatness - even life itself.,為追求偉大捨棄一切，甚至生命本身。
Great tacticians learn that consistency often trumps potential.,偉大的戰術家明白，穩定往往勝過潛力。
Hope is a mistake. Pain is the only truth.,希望是錯誤。痛苦才是唯一真理。
"I give you everything, my pets. Do not disappoint me.",我給予你們一切，我的寵物們。別讓我失望。
"In battle, certainty is worth a little pain.",戰鬥中，確定性值得付出些許痛苦。
"Lay open your veins, and draw power from your own spilled life.",割開血脈，從灑落的生命中汲取力量。
"Skip a beat, hold your breath. Too slow a poison, only death.",心跳漏拍，屏住呼吸。毒太慢時，唯有死亡。
Strength begets respect. There is no simpler law.,力量帶來敬畏。沒有比這更簡單的法則。
Tear my flesh and splinter my bones. You will never break my spirit.,撕裂我的血肉，粉碎我的骨骼。你永遠無法折斷我的意志。
The body is a weapon waiting to be mastered.,身體是一件等待被掌握的武器。
"The fewer there are, the less you have to share.",人數越少，需要分享的就越少。
"The irrepressible spirit of the wilds burns within you, roaring to be let loose.",荒野不可遏止的靈魂在你體內燃燒，咆哮著渴望釋放。
"The notes may change, but the song remains the same.",音符或許改變，旋律始終如一。
The Titans did not vanish from this world. Their might lives on - in you.,泰坦並未從世界消失。他們的偉力仍在你體內延續。
"To me, brave companions! Feel my radiance flow through you!",到我身邊來，勇敢的同伴！感受我的光輝流經你們！
Utter trust in your defence unleashes ultimate potential.,對防禦的絕對信任會釋放終極潛能。
"While the mind endures, so too will the body.",只要心智堅持，身體亦會支撐。
Why should I dodge blows that I do not fear?,我為何要閃避我並不畏懼的打擊？
"You circle the black scorpion with enmity, daring it time and again.",你懷著敵意繞行黑蠍，一次又一次挑釁它。
Your grandchildren will awaken screaming in memory of what I utter today.,你的孫輩會因我今日所言的記憶而尖叫著醒來。
Area Damage and Companion Area of Effect,范围傷害 和 伙伴 效果范围
Barrier of Venarius,維納留斯屏障
Battle-hardened,久經沙場
Bhatair's Storm,巴泰爾之暴
Cirel of Tarth's Light,塔斯之光的希雷爾
Companion Attack Speed,伙伴 攻擊速度
Conall the Hunted,被獵者科納爾
Deflection and Energy Shield Delay,偏轉 和 能量護盾延迟
Dominus' Providence,多米納斯的神意
Elemental Damage and Energy Shield Delay,元素傷害 和 能量護盾延迟
Elemental Damage and Mana Regeneration,元素傷害 和 魔力再生
Evasion and Companion Movement Speed,闪避 和 伙伴 移动速度
Evasion and Energy Shield Delay,闪避 和 能量護盾延迟
"Morgana, the Storm Seer",風暴先知摩根娜
Saqawal's Hide,薩卡瓦爾之皮
Saqawal's Talon,薩卡瓦爾之爪
Sinister Jewel Socket,陰森珠寶插槽
Skill Speed and Area of Effect,技能速度 和 效果范围
The Catha's Balance,卡莎的平衡
The Mórrigan's Guidance,莫莉甘的指引
Voll's Protection,福爾的庇護
+1 Charm Slot,+1 護符欄位
+1 maximum stacks of Puppet Master,+1 最大 层數 的 傀儡大师
+1 to Maximum Spirit per 25 Maximum Life,+1 至 精魂上限 每 25 生命上限
+1% to maximum Block chance,+1% 至 最大 格擋几率
+10 to Spirit,+10 至 精魂
+12 to maximum Rage while Shapeshifted,+12 至 最大 怒火 当 变形時
+2% to maximum Block chance,+2% 至 最大 格擋几率
+2% to Quality of all Skills,+2% 至 品質 的 所有 技能
+3 to maximum Rage while Shapeshifted,+3 至 最大 怒火 当 变形時
+4% to maximum Block chance,+4% 至 最大 格擋几率
+40 to Spirit for each of your empty Charm slots,+40 至 精魂 每个 的 你的 空 護符欄位
+500 to Armour while Frozen,+500 至 護甲 当 凍结
1% increased Attack Speed per 25 Dexterity,提高 1% 攻擊速度 每 25 敏捷
1% increased Damage per 15 Strength,提高 1% 傷害 每 15 力量
10% chance for Attack Hits to apply ten Incision,10% 几率使 攻擊擊中 至 施加 十层 切创
10% chance to gain Volatility on Kill,10% 几率 獲得 易变 擊败時
10% increased Accuracy Rating,提高 10% 命中值
10% increased Accuracy Rating while Shapeshifted,提高 10% 命中值 当 变形時
10% increased Accuracy Rating with Spears,提高 10% 命中值 使用 矛
10% increased Archon Buff duration,提高 10% 执政官增益 持续時间
10% increased Armour while Shapeshifted,提高 10% 護甲 当 变形時
10% increased Attack Area Damage,提高 10% 攻擊 范围傷害
10% increased Attack Speed with Spears,提高 10% 攻擊速度 使用 矛
10% increased Ballista Critical Damage Bonus,提高 10% 弩炮 暴擊傷害加成
10% increased Ballista Critical Hit Chance,提高 10% 弩炮 暴擊几率
10% increased Block chance,提高 10% 格擋几率
10% increased Charm Effect Duration,提高 10% 護符效果持续時间
10% increased Critical Hit Chance with One Handed Melee Weapons,提高 10% 暴擊几率 使用 单手近战武器
10% increased Curse Magnitudes,提高 10% 诅咒 幅度s
10% increased Damage against Immobilised Enemies,提高 10% 傷害 对 不可移动 敌人
10% increased Damage if you've dealt a Critical Hit Recently,提高 10% 傷害 若你已 造成 a 暴擊 近期
10% increased Deflection Rating while Surrounded,提高 10% 偏轉值 当 被包围
10% increased Exposure Effect,提高 10% 曝露 效果
10% increased Grenade Area of Effect,提高 10% 榴弹 效果范围
10% increased Hazard Area of Effect,提高 10% 危险物 效果范围
10% increased Magnitude of Ailments you inflict,提高 10% 幅度 的 异常状態 你 施加
10% increased Magnitude of Poison you inflict,提高 10% 幅度 的 中毒 你 施加
10% increased Mana Cost Efficiency,提高 10% 魔力消耗效率
10% increased Movement Speed while Surrounded,提高 10% 移动速度 当 被包围
10% increased Reservation Efficiency of Minion Skills,提高 10% 保留效率 的 召喚生物 技能
10% increased Stun Buildup,提高 10% 晕眩积累
10% of Damage taken Recouped as Life while Channelling,10% 的 傷害 承受 補償為生命 当 引导
10% reduced Projectile Speed for Spell Skills,降低 10% 投射物速度 对 法術 技能
100% increased Flammability Magnitude,提高 100% 易燃 幅度
12% chance for Spell Skills to fire 2 additional Projectiles,12% 几率使 法術 技能 至 發射 2 額外 投射物
12% increased Accuracy Rating,提高 12% 命中值
12% increased Accuracy Rating with One Handed Melee Weapons,提高 12% 命中值 使用 单手近战武器
12% increased Attack Cold Damage,提高 12% 攻擊 冰霜傷害
12% increased Block chance,提高 12% 格擋几率
12% increased Critical Hit Chance against Dazed Enemies,提高 12% 暴擊几率 对 眩晕d 敌人
12% increased Grenade Damage,提高 12% 榴弹 傷害
12% increased Magnitude of Ailments you inflict,提高 12% 幅度 的 异常状態 你 施加
12% increased Magnitude of Poison you inflict,提高 12% 幅度 的 中毒 你 施加
12% increased Physical Damage while Shapeshifted,提高 12% 物理傷害 当 变形時
12% increased Reservation Efficiency of Minion Skills,提高 12% 保留效率 的 召喚生物 技能
12% increased Stun Buildup,提高 12% 晕眩积累
15% increased Accuracy Rating,提高 15% 命中值
15% increased Accuracy Rating with One Handed Melee Weapons,提高 15% 命中值 使用 单手近战武器
15% increased Archon Buff duration,提高 15% 执政官增益 持续時间
15% increased Attack Area Damage,提高 15% 攻擊 范围傷害
15% increased Block chance,提高 15% 格擋几率
15% increased Critical Damage Bonus for Attack Damage,提高 15% 暴擊傷害加成 对 攻擊 傷害
15% increased Duration of Ailments against Enemies with Exposure,提高 15% 持续時间 的 异常状態 对 敌人 使用 曝露
15% increased Effect of Puppet Master,提高 15% 效果 的 傀儡大师
15% increased Flammability Magnitude,提高 15% 易燃 幅度
